latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
40.66069,-73.94732,2.0,15.0,2.53,1.0,20.0
40.67285,-73.95133,1.0,0.0,0.35,1.0,66.0
40.73235,-73.98823,30.0,0.0,0.084,49.0,364.0
40.67293,-73.79554,4.0,1.0,0.45,7.0,365.0
40.78406,-73.98431,1.0,0.0,0.032,1.0,0.0
40.69207,-73.97407,14.0,18.0,0.35,1.0,128.0
40.7487,-73.97862,3.0,0.0,0.398,3.0,294.0
40.67988,-73.89201,1.0,17.0,1.64,3.0,67.0
40.71877,-74.0026,3.0,0.0,0.766,1.0,11.0
40.71127,-73.84278,2.0,3.0,0.13,3.0,364.0
40.70734,-74.00837,30.0,0.0,0.726,1.0,310.0
40.76298,-73.99438,3.0,49.0,1.98,1.0,216.0
40.76398,-73.99087,2.0,1.0,0.38,1.0,9.0
40.75544,-73.99511,7.0,3.0,0.29,47.0,348.0
40.74789,-73.91428,30.0,3.0,0.13,1.0,213.0
40.6322,-74.07789,2.0,103.0,3.52,1.0,73.0
